userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
1: (2858,14.890045166015625) (2396,14.315960884094238) (593,13.95844841003418) (318,13.902490615844727) (858,13.371723175048828) (1196,13.35035514831543) (1193,13.177972793579102)* (1198,13.17405891418457) (912,13.164117813110352) (1197,12.978717803955078) (2762,12.956230163574219)* (1225,12.740355491638184) (1265,12.728422164916992) (34,12.527816772460938) (356,12.313689231872559) (1617,12.16653060913086) (1259,12.082703590393066) (1307,12.074316024780273) (1210,12.057555198669434) (2997,11.875787734985352)
2: (858,17.80402374267578) (593,17.705821990966797)* (260,17.47696304321289) (527,17.32700538635254) (608,17.164316177368164) (2858,16.628414154052734)* (1617,15.643575668334961) (912,15.403274536132812) (1221,15.391515731811523) (296,15.255939483642578) (1197,15.112358093261719) (1270,14.885380744934082) (1225,14.85491943359375)* (2762,14.80770492553711) (919,14.614662170410156) (50,14.613033294677734) (1213,14.448877334594727) (2396,14.396008491516113)* (2571,14.337478637695312)* (1240,14.217508316040039)
3: (1198,15.499077796936035)* (589,15.230569839477539) (2571,14.825138092041016) (1240,14.538572311401367) (1270,13.821491241455078) (110,13.684531211853027) (1036,13.556259155273438) (1291,13.320728302001953)* (2028,13.23294734954834) (1580,13.224130630493164) (1214,13.151521682739258) (1200,12.977455139160156) (457,12.861035346984863) (2000,12.633598327636719) (2916,12.557043075561523) (1610,12.38608169555664) (1374,12.298574447631836) (2628,12.284940719604492) (1097,12.189173698425293) (858,12.002842903137207)
4: (1196,14.847112655639648) (1198,14.381877899169922)* (589,13.995099067687988) (1210,13.86628246307373) (1200,13.078010559082031) (2571,13.050707817077637) (858,12.595230102539062) (541,12.187665939331055) (110,11.636201858520508) (1291,11.632965087890625) (1374,11.608530044555664) (1270,11.496224403381348) (1221,11.271855354309082) (2916,11.145021438598633) (1197,11.117781639099121) (924,11.066376686096191) (457,10.892892837524414) (2000,10.67117691040039) (1610,10.615058898925781) (1580,10.601330757141113)
5: (2858,20.67428207397461)* (608,18.297773361206055)* (296,16.63409996032715)* (318,16.258991241455078) (527,16.147109985351562) (2396,16.121355056762695) (1617,16.014097213745117) (1193,15.482595443725586) (1213,15.117191314697266)* (1230,15.026427268981934) (858,14.446808815002441) (2324,14.384146690368652) (912,13.953341484069824) (2762,13.909096717834473) (1225,13.832893371582031) (111,13.777299880981445) (1094,13.550836563110352) (2395,13.541784286499023)* (1247,13.492889404296875) (923,13.446220397949219)
6: (2396,12.516910552978516)* (356,11.915884971618652) (2858,11.740373611450195) (527,11.711508750915527) (260,11.451021194458008) (919,11.410059928894043) (318,11.366933822631836) (2762,11.331720352172852) (1270,11.293152809143066) (593,11.231925964355469) (1198,11.21418571472168) (1265,11.19679069519043) (1196,11.109148025512695) (1197,11.0018949508667) (1097,10.945358276367188) (1307,10.845264434814453) (1210,10.707040786743164) (2028,10.588101387023926) (858,10.511899948120117) (34,10.38170337677002)*
7: (2571,13.776988983154297)* (1210,12.835918426513672) (260,12.292981147766113) (1240,12.101800918579102) (780,11.51158332824707) (2628,11.502314567565918) (1198,11.477335929870605) (1036,11.315620422363281) (1291,10.87166976928711) (1200,10.827413558959961) (1214,10.585599899291992) (2028,10.583795547485352)* (3527,10.42458724975586) (1356,10.285511016845703) (1374,10.266182899475098) (1527,10.121197700500488) (2000,9.944799423217773) (316,9.678779602050781) (1573,9.667927742004395)* (1370,9.517606735229492)
8: (593,18.166593551635742) (318,17.97676658630371) (2762,16.503318786621094) (1617,16.281883239746094) (2997,16.145870208740234) (50,15.896637916564941) (858,15.185839653015137) (1193,14.949226379394531) (1265,14.155172348022461)* (2324,13.608380317687988) (356,13.562942504882812) (1358,13.48373031616211) (2599,13.465932846069336) (1196,13.46450424194336) (260,13.329456329345703) (1198,13.275638580322266) (1259,13.253657341003418) (1197,13.23233699798584) (34,13.089935302734375) (1225,13.057088851928711)
9: (296,16.145122528076172) (2997,15.342623710632324) (2396,14.864274024963379) (858,14.390436172485352) (1196,13.710394859313965) (1193,13.70831298828125) (260,13.671907424926758) (110,13.500055313110352) (1197,13.498639106750488) (1198,13.48505973815918) (356,13.004271507263184) (1259,12.934955596923828) (2599,12.699592590332031) (34,12.38753604888916) (589,12.367509841918945) (1136,12.236190795898438) (1270,12.121984481811523) (3578,12.058525085449219) (1089,11.98505687713623)* (1225,11.944408416748047)
10: (260,25.172801971435547)* (1,20.713096618652344)* (589,20.565670013427734)* (356,20.365875244140625)* (593,20.098758697509766) (2858,20.025596618652344) (919,20.015907287597656)* (858,19.991790771484375) (2028,19.991714477539062) (110,19.538564682006836)* (1136,18.876922607421875)* (1259,18.844079971313477) (1036,18.35788917541504) (912,18.297809600830078) (608,18.282669067382812) (457,18.1107177734375) (2791,18.048351287841797)* (541,17.974056243896484)* (1193,17.891929626464844) (2628,17.81110191345215)
11: (318,16.60447120666504)* (296,16.268369674682617) (2396,15.935728073120117) (527,15.86967658996582) (1617,15.112043380737305) (2599,14.941116333007812) (1265,14.735111236572266) (1213,14.595643997192383)* (2028,13.985576629638672) (1193,13.981691360473633) (858,13.787318229675293) (2324,13.6017427444458) (34,13.200007438659668) (1259,13.13621711730957) (223,13.12694263458252) (1,12.824548721313477) (2395,12.776535034179688) (1136,12.686721801757812)* (1225,12.586965560913086) (2804,12.48472785949707)*
