userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
1: (595,8.45337200164795)* (364,7.968813896179199) (318,6.3431396484375) (34,6.189698696136475) (593,6.1074299812316895) (2081,6.043560981750488) (2078,5.384310722351074) (2687,5.372585296630859) (1198,5.3610663414001465) (2096,5.3200554847717285) (110,5.2640767097473145) (1907,5.15600061416626)* (2085,5.137535572052002) (2087,5.104642868041992) (1282,5.074392795562744) (2080,5.072317123413086) (1210,5.028654098510742) (1196,4.951448440551758) (3751,4.919098854064941) (2858,4.680999279022217)
2: (527,6.7689900398254395) (593,5.779534816741943)* (858,5.428558826446533) (1610,5.185884952545166)* (260,5.060436248779297) (2571,4.790960788726807)* (912,4.772256374359131) (1242,4.7655816078186035) (1225,4.73292350769043)* (1704,4.6985321044921875) (1250,4.635886192321777) (150,4.567287445068359) (1221,4.422718048095703) (1961,4.394908428192139) (953,4.262112140655518) (1233,4.237275123596191) (1580,4.166333198547363) (1097,4.031550407409668) (1408,3.987189531326294) (1291,3.8618221282958984)
3: (1198,6.0060858726501465)* (1291,5.774677753448486)* (110,5.3595170974731445) (2716,4.6983489990234375) (2918,4.646513938903809) (2028,4.561463832855225) (356,4.514763832092285) (2804,4.376206874847412) (1073,4.2988762855529785) (2174,4.289455413818359) (1270,4.281922817230225) (2406,4.274256706237793) (2791,4.220787525177002) (2797,4.217719078063965) (592,4.180766582489014) (2193,4.0986552238464355) (2005,4.094459533691406) (1580,3.9418675899505615) (2628,3.825838327407837) (553,3.7710330486297607)
4: (1198,8.041570663452148)* (858,7.273763179779053) (1196,7.233726978302002) (589,6.7497406005859375) (1221,6.61857271194458) (1210,6.591825485229492) (2571,6.007129192352295) (1200,5.836750507354736) (110,5.78934907913208) (1291,5.631952285766602) (1304,5.339326858520508) (457,5.133407115936279) (3703,4.610017776489258) (2944,4.580977439880371) (1197,4.428676605224609) (969,4.42846155166626) (2948,4.344735145568848) (1610,4.329456329345703) (1953,4.3145294189453125) (1222,4.258659839630127)
5: (2858,8.02474594116211)* (2692,6.218052864074707)* (3160,6.134100914001465) (2395,6.084375381469727)* (608,5.930091381072998)* (296,5.531907081604004)* (247,5.26355504989624) (778,5.093762397766113) (1673,4.952559947967529) (1148,4.949141979217529) (223,4.866480827331543) (745,4.767885208129883) (1885,4.610053062438965)* (589,4.544027805328369) (1041,4.5180864334106445) (2336,4.42071008682251) (1617,4.3081865310668945) (1719,4.249720573425293) (2324,4.218480587005615) (1213,4.056212425231934)*
6: (2396,5.154038429260254)* (1088,5.1142706871032715)* (1307,5.06956672668457) (1721,5.035569667816162) (356,4.897396087646484) (3512,4.865772247314453) (266,4.704639434814453)* (2080,4.586918354034424) (1197,4.584087371826172) (899,4.3787522315979) (1028,4.351593971252441)* (595,4.184243679046631)* (1035,4.165278911590576)* (110,4.158304214477539) (3114,3.85475492477417) (590,3.7724053859710693) (1210,3.7579264640808105) (2565,3.7503342628479004) (597,3.698516845703125)* (2078,3.677915573120117)
7: (2571,6.455855369567871)* (2028,6.10590934753418)* (377,5.6038665771484375) (1370,5.186738014221191) (2353,5.076521396636963)* (1036,4.658737659454346) (1573,4.511981010437012)* (648,4.306612491607666)* (10,4.218572616577148) (2058,4.151246547698975) (780,4.11838960647583) (1198,4.101551055908203) (1527,4.058055400848389) (1608,4.056208610534668) (1210,4.047811031341553) (165,3.880239963531494) (1408,3.8036258220672607) (1356,3.7831335067749023) (2273,3.7550201416015625) (3555,3.7465851306915283)
8: (318,6.649921417236328) (593,6.008807182312012) (3418,5.558356761932373) (1721,5.381831169128418)* (32,5.280482769012451) (778,5.179887771606445) (2959,5.016908645629883) (266,4.8792290687561035)* (1183,4.811336517333984) (36,4.80021858215332)* (3100,4.773348331451416) (1408,4.647166728973389) (3160,4.638338565826416) (3252,4.634157657623291) (2336,4.618343353271484) (150,4.612273216247559)* (1358,4.545679092407227) (265,4.5137939453125)* (1094,4.41959810256958) (2268,4.402965068817139)
9: (296,8.863043785095215) (2997,7.032341003417969) (356,6.529181003570557) (110,6.483499050140381) (2396,6.32302713394165) (34,6.271322727203369) (3147,6.105526447296143)* (150,5.883275032043457) (3006,5.765395641326904) (32,5.452690124511719) (1784,5.157843112945557) (2599,5.157014846801758) (589,5.137282848358154) (1393,4.982301235198975) (260,4.873982906341553) (1089,4.851269245147705)* (2501,4.845256328582764) (246,4.793686389923096) (2329,4.762581825256348) (1196,4.7515177726745605)
10: (260,7.896968364715576)* (919,7.216427803039551)* (1,6.990908622741699)* (2140,6.761670112609863)* (2628,6.670156002044678) (2161,6.51962947845459)* (356,6.443749904632568)* (2080,6.276931285858154)* (3471,6.238137245178223)* (1967,6.0578789710998535)* (1278,5.872488021850586)* (317,5.53648042678833)* (3396,5.441900253295898) (1136,5.201230525970459)* (2987,5.158884525299072) (2406,5.05741548538208) (551,5.0006022453308105) (11,4.9916863441467285) (150,4.959176540374756)* (1968,4.919666767120361)
11: (1517,5.908716678619385) (223,5.874030113220215) (1060,5.629111289978027) (296,5.311020851135254) (2599,4.980654239654541) (2395,4.950045108795166) (3052,4.561610698699951) (2706,4.546623706817627) (2324,4.509036064147949) (1500,4.414514064788818) (1136,4.368208885192871)* (318,4.25528621673584)* (1265,4.206892967224121) (2700,4.165230751037598) (3253,4.14375638961792) (180,4.051051139831543) (778,4.016811847686768)* (2804,3.9063119888305664)* (3421,3.800442695617676) (1641,3.786219596862793)
