userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
1: (595,4.492679595947266)* (364,3.975365161895752) (2081,3.132915735244751) (34,3.0186960697174072) (593,3.0011842250823975) (2096,2.900869846343994) (318,2.861355781555176) (2078,2.8484294414520264) (1198,2.7092251777648926) (2085,2.6550488471984863) (1210,2.6040127277374268) (110,2.5863142013549805) (1907,2.534507989883423)* (2687,2.490060567855835) (2080,2.3576066493988037) (1688,2.356184720993042) (2087,2.3435442447662354) (3751,2.3302435874938965) (1282,2.3300890922546387) (480,2.3270440101623535)
2: (527,3.634133815765381) (593,3.122497797012329)* (1610,2.8989126682281494)* (1704,2.6614608764648438) (858,2.645238161087036) (150,2.6242449283599854) (1961,2.5329976081848145) (260,2.5263173580169678) (1225,2.4735782146453857)* (1580,2.202629566192627) (1250,2.146639823913574) (2571,2.0833985805511475)* (1231,2.055617332458496) (733,2.0477888584136963) (2501,2.0033347606658936)* (1036,1.9888728857040405) (1097,1.9649631977081299) (1291,1.9433577060699463) (1221,1.9236340522766113) (1242,1.922669768333435)
3: (1291,3.267193078994751)* (110,3.2596490383148193) (1198,3.2088775634765625)* (2628,3.169252395629883) (2174,3.0754942893981934) (2193,3.0233609676361084) (2005,2.9954516887664795) (1073,2.8944754600524902) (1580,2.869310140609741) (2797,2.79260516166687) (2716,2.772423267364502) (2161,2.6600112915039062) (553,2.5241448879241943) (2918,2.380751609802246) (2791,2.334791421890259) (2028,2.263267993927002) (1967,2.261232376098633) (349,2.078529119491577) (1097,2.0703861713409424) (1270,2.026848316192627)
4: (1198,4.214036464691162)* (858,4.095616340637207) (1196,3.979531764984131) (589,3.9084904193878174) (1210,3.673144817352295) (1221,3.6143829822540283) (1200,3.5676608085632324) (2571,3.2616310119628906) (457,3.1012744903564453) (110,3.044753074645996) (1291,2.7618188858032227) (1304,2.730037212371826) (2944,2.681445598602295) (3703,2.6064488887786865) (1610,2.5198214054107666) (969,2.4674925804138184) (1287,2.2155818939208984) (1953,2.197631359100342) (2019,2.188784599304199) (2948,2.1860761642456055)
5: (2395,4.923438549041748)* (2692,4.368557929992676)* (3160,4.225976943969727) (247,3.3984508514404297) (2858,3.264620065689087)* (223,3.1080691814422607) (1885,2.682069778442383)* (2600,2.586669445037842) (2976,2.5770249366760254) (3175,2.576490879058838) (233,2.5582900047302246) (1188,2.4796693325042725) (125,2.454141616821289) (2575,2.4359912872314453) (1748,2.4235785007476807) (235,2.4123034477233887) (1719,2.4051437377929688) (2712,2.3717379570007324) (3606,2.317096710205078) (2721,2.3143420219421387)
6: (3512,2.993657112121582) (1088,2.9138498306274414)* (3623,2.6665117740631104) (899,2.644659996032715) (266,2.5381855964660645)* (2605,2.518842935562134) (2080,2.3931515216827393) (1721,2.390519857406616) (1035,2.3872897624969482)* (3408,2.373206615447998)* (3555,2.307147979736328) (3594,2.2513644695281982) (1307,2.165410041809082) (1959,2.087451696395874) (3513,2.0796444416046143) (3484,2.075868606567383) (2396,2.0669076442718506)* (2565,2.0317277908325195) (2941,1.9966973066329956) (3510,1.939850926399231)
7: (2571,4.302392959594727)* (2028,3.32938551902771)* (1036,3.0375306606292725) (2353,2.890303134918213)* (377,2.8660645484924316) (1198,2.8245911598205566) (1370,2.8152337074279785) (1210,2.641854763031006) (1291,2.594804525375366) (780,2.4387195110321045) (260,2.4052388668060303) (10,2.3621933460235596) (3555,2.3338773250579834) (3578,2.3166937828063965) (2628,2.2983834743499756) (1527,2.236342430114746) (1573,2.2169034481048584)* (1240,2.156625986099243) (1356,2.1233489513397217) (2763,2.1169087886810303)
8: (318,4.32954740524292) (2959,3.4616472721099854) (593,3.3996386528015137) (32,3.2168896198272705) (778,3.093982219696045) (3160,2.9924447536468506) (1721,2.787560224533081)* (266,2.6864571571350098)* (1584,2.6340582370758057) (2336,2.4879462718963623) (1408,2.458658456802368) (3006,2.2619879245758057) (1183,2.2547249794006348) (150,2.251082181930542)* (36,2.230438232421875)* (2908,2.1134915351867676) (265,2.1083624362945557)* (47,2.0816636085510254) (3252,2.074984550476074) (3100,2.0367321968078613)
9: (296,4.931494235992432) (2997,3.8601021766662598) (2396,3.6028666496276855) (110,3.3907783031463623) (356,2.9677963256835938) (3147,2.733227491378784)* (150,2.6614766120910645) (2599,2.6537959575653076) (32,2.6357624530792236) (34,2.6337361335754395) (589,2.577144145965576) (1089,2.4512877464294434)* (2329,2.4481494426727295) (1393,2.4224460124969482) (745,2.3830819129943848)* (2706,2.33443021774292) (3006,2.312793254852295) (47,2.2574644088745117)* (2355,2.224783420562744)* (1784,2.0953023433685303)
10: (260,5.2191057205200195)* (2628,4.537998676300049) (2140,4.052648067474365)* (356,4.051408290863037)* (919,4.031861305236816)* (2161,3.7242274284362793)* (3471,3.719691276550293)* (1967,3.387092113494873)* (1,3.317446231842041)* (1968,3.095052719116211) (317,2.9287915229797363)* (2080,2.8514645099639893)* (1721,2.820490598678589) (2083,2.699451446533203) (924,2.6990225315093994) (1278,2.6762924194335938)* (2565,2.6512725353240967) (1259,2.637444019317627) (1373,2.612982749938965) (3396,2.5920326709747314)
11: (223,4.086095333099365) (1517,3.852604866027832) (2706,3.735105514526367) (1060,3.2074038982391357) (2395,3.107936382293701) (296,3.096942663192749) (3253,3.089716672897339) (318,2.728555679321289)* (1,2.653653621673584) (2599,2.6098077297210693) (180,2.594860792160034) (3052,2.5900769233703613) (3421,2.5887839794158936) (441,2.563291549682617) (1265,2.4731311798095703) (3174,2.4456429481506348) (2700,2.414604902267456) (2804,2.403541088104248)* (2324,2.3401732444763184) (260,2.1967906951904297)
12: (858,3.1356754302978516)* (750,2.585284948348999) (260,2.4104762077331543) (912,2.241417169570923) (541,2.2322330474853516) (2019,2.184584617614746) (1214,2.072223424911499) (1206,2.0417888164520264) (1204,2.011849880218506) (1136,1.9940121173858643) (924,1.920243263244629) (1196,1.8756498098373413) (296,1.8349257707595825) (1213,1.8314374685287476) (1240,1.774032711982727) (1219,1.719184398651123) (1199,1.7027826309204102) (1267,1.6489704847335815) (318,1.6312475204467773) (1148,1.6286741495132446)
13: (480,5.226612091064453)* (2628,4.648589134216309) (2858,3.685918092727661) (1291,3.4242827892303467)* (527,3.397094964981079)* (2762,2.9778425693511963) (1270,2.8173885345458984) (1240,2.59246563911438) (1197,2.45509672164917)* (2396,2.455044984817505) (1610,2.4132680892944336) (457,2.393885374069214) (1376,2.3689346313476562) (733,2.320194959640503) (1225,2.2874748706817627) (541,2.2738120555877686) (1721,2.216780662536621) (356,2.1872620582580566) (1214,2.079881191253662) (2916,2.075011968612671)
14: (2858,2.589167356491089) (318,2.3110978603363037) (593,2.1737380027770996) (527,2.1661226749420166) (2959,1.9824079275131226) (1213,1.961236834526062) (50,1.8696762323379517) (608,1.705820083618164) (912,1.5460014343261719) (1704,1.5401086807250977) (111,1.4555304050445557) (2028,1.4036592245101929) (2706,1.3750296831130981) (778,1.351949691772461) (1089,1.2698925733566284) (2396,1.259640097618103)* (2324,1.2557883262634277) (2908,1.2378085851669312) (858,1.2246382236480713) (923,1.2171504497528076)
15: (3578,4.946990013122559)* (356,3.8485522270202637)* (3555,3.5472819805145264) (318,3.5422847270965576)* (1721,3.3556838035583496) (1617,3.346428155899048) (589,3.2895009517669678) (733,3.2424232959747314) (1784,3.157583236694336) (2605,3.123084783554077) (3513,2.98771071434021) (2628,2.860049247741699) (50,2.830336093902588)* (2353,2.7503111362457275) (2688,2.7439723014831543) (454,2.727753162384033) (3623,2.7105801105499268) (2694,2.6560018062591553)* (150,2.6354167461395264) (590,2.6241109371185303)
16: (2694,3.625138521194458) (2881,3.235858678817749) (2541,3.196943998336792) (2485,3.1104559898376465) (2706,2.8954362869262695) (3114,2.6115241050720215) (2716,2.5750081539154053) (2688,2.4821763038635254) (2987,2.436577558517456) (3157,2.389514446258545) (1911,2.355785608291626) (2763,2.3540706634521484) (1513,2.268812656402588) (2908,2.2675368785858154) (3615,2.1822540760040283) (968,2.1804628372192383) (1127,2.171231508255005) (3203,2.169011354446411) (3408,2.1460540294647217) (2599,2.130256414413452)
17: (1200,5.944179058074951)* (1199,5.2160234451293945) (2916,5.15070915222168)* (924,4.637887954711914)* (2968,4.298449516296387) (2662,4.198236465454102)* (1527,3.8019511699676514)* (3702,3.757596254348755) (2010,3.395463228225708)* (1196,3.2788615226745605)* (1097,3.243361711502075) (3699,3.1492321491241455)* (1396,3.046943426132202) (2009,3.000062942504883) (260,2.9200472831726074)* (2761,2.847775936126709) (1129,2.775074005126953)* (1573,2.673935890197754) (3658,2.6039085388183594)* (1676,2.557579517364502)
18: (364,4.686567783355713)* (1291,4.655014514923096)* (2193,4.314730644226074)* (3000,3.6773576736450195) (2081,3.505802869796753)* (661,3.313096046447754) (497,3.2992639541625977) (2687,3.213512897491455) (1028,3.163102388381958)* (596,3.1136109828948975)* (1148,3.095187187194824) (1408,3.059438943862915)* (2761,3.0560059547424316) (1223,2.909829616546631) (2138,2.902711868286133) (1374,2.793478488922119) (3081,2.7899796962738037) (720,2.772920846939087) (1610,2.680954933166504) (3114,2.6787641048431396)
19: (1291,4.278086185455322)* (3753,3.845130443572998) (260,3.713322877883911) (3578,3.7011067867279053) (3114,3.454772710800171)* (2762,3.272312641143799)* (480,3.1065585613250732)* (3624,3.0612213611602783)* (2683,3.0033698081970215)* (3623,2.814345359802246) (1196,2.81036639213562)* (1148,2.7969515323638916)* (1610,2.7239372730255127) (2617,2.646458387374878) (2115,2.594101667404175) (3147,2.572688102722168) (2628,2.541018009185791) (1036,2.492183208465576)* (364,2.3905577659606934) (1136,2.3582353591918945)
21: (3751,3.9763174057006836) (2761,3.456413984298706) (3863,3.377685308456421) (1032,3.060421943664551) (3624,2.938408613204956) (1274,2.914510488510132) (2976,2.906977653503418) (3793,2.7978169918060303) (741,2.72795033454895) (1215,2.5676279067993164) (3081,2.561568021774292) (3300,2.521226406097412) (2140,2.4038288593292236) (3910,2.357391834259033) (3114,2.2956414222717285) (2139,2.295405149459839) (3159,2.2730188369750977) (1148,2.2693798542022705) (1025,2.237452983856201) (837,2.188603639602661)
22: (296,3.7671704292297363) (2571,3.5304291248321533) (551,3.488279104232788) (2804,3.412075996398926) (608,3.284207582473755)* (110,3.2129411697387695)* (1580,3.1695783138275146) (50,3.1641793251037598) (2700,3.0014514923095703) (2959,2.932621479034424) (260,2.8773791790008545) (480,2.745225429534912) (47,2.723097562789917)* (1206,2.7204501628875732) (1197,2.7058587074279785) (1261,2.610429286956787)* (2628,2.6072895526885986) (3481,2.6048154830932617) (924,2.5462636947631836) (785,2.5461297035217285)
