userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
1: (595,1.8365012407302856)* (364,1.7740353345870972) (1210,1.5273066759109497) (34,1.465660810470581) (2081,1.460278868675232) (593,1.4042880535125732) (2762,1.3662687540054321)* (1196,1.3206169605255127) (2096,1.2855271100997925) (318,1.2102242708206177) (1198,1.1837354898452759) (2080,1.1766246557235718) (2078,1.1389929056167603) (1688,1.1197277307510376) (3147,1.1130777597427368) (2687,1.0975850820541382) (2087,1.0655244588851929) (1907,1.0338554382324219)* (1704,1.0293211936950684) (2565,0.9892415404319763)
2: (527,1.739437222480774) (593,1.6247732639312744)* (150,1.276764154434204) (1610,1.2642186880111694)* (1961,1.2233507633209229) (1704,1.1484609842300415) (858,1.1373094320297241) (260,1.0743271112442017) (608,1.0420182943344116) (2571,1.0366109609603882)* (1097,1.0143816471099854) (1225,1.0074321031570435)* (1580,0.986240565776825) (1242,0.9467843174934387) (1,0.9448605179786682) (1233,0.9407393932342529) (2501,0.9242498278617859)* (1584,0.9188553690910339) (1203,0.9114681482315063) (1265,0.9035528302192688)
3: (1198,1.7460885047912598)* (1291,1.6156352758407593)* (110,1.3277775049209595) (1580,1.2956855297088623) (1073,1.2658885717391968) (2028,1.1327677965164185) (2918,1.100591778755188) (2716,1.0887978076934814) (593,1.0606521368026733) (919,1.0378789901733398) (2987,1.0273009538650513) (2174,0.9948546290397644) (2193,0.9889030456542969) (356,0.984144926071167) (592,0.9612134695053101) (2804,0.9600605368614197) (2797,0.9474274516105652) (2005,0.9427269697189331) (2406,0.939749538898468) (553,0.9160428643226624)
4: (1198,2.000023603439331)* (589,1.8844943046569824) (858,1.7327476739883423) (1196,1.7099014520645142) (1221,1.5746498107910156) (2571,1.5700337886810303) (110,1.5152215957641602) (1210,1.4747885465621948) (457,1.4734090566635132) (1291,1.4542988538742065) (1200,1.4497053623199463) (1304,1.2555451393127441) (3703,1.2328084707260132) (2944,1.109322428703308) (1287,1.0559014081954956) (2529,1.0494070053100586) (1610,1.0326385498046875) (1197,1.0309168100357056) (1222,1.0210617780685425) (1953,1.0047894716262817)
5: (2395,1.6720445156097412)* (2858,1.6201807260513306)* (608,1.5812379121780396)* (247,1.501388669013977) (1148,1.4990530014038086) (3160,1.498586654663086) (1094,1.3330177068710327) (2692,1.2153304815292358)* (1673,1.2145237922668457) (745,1.2078722715377808) (2761,1.1476507186889648) (778,1.118777871131897) (319,1.1093566417694092) (223,1.0918179750442505) (1885,1.0858629941940308)* (235,1.0742371082305908) (345,1.0673326253890991) (2721,1.0661892890930176) (581,1.059023380279541) (3007,1.0466622114181519)
6: (2396,1.2583253383636475)* (3512,1.248058795928955) (3408,1.1874921321868896)* (1721,1.1822395324707031) (1088,1.1794822216033936)* (3623,1.0989305973052979) (266,1.083692193031311)* (2565,1.0780563354492188) (3513,1.0641978979110718) (899,1.0616258382797241) (3594,1.0480482578277588) (2080,1.0206212997436523) (3555,1.0183979272842407) (1307,0.9383664727210999) (2941,0.9348049759864807) (1210,0.8944888114929199) (2100,0.8893893361091614) (3301,0.8353013396263123) (1028,0.834311306476593)* (1035,0.8336814045906067)*
7: (2571,1.9374395608901978)* (2028,1.7189832925796509)* (1036,1.3879451751708984) (2353,1.34557044506073)* (377,1.3094167709350586) (1370,1.2967033386230469) (3555,1.2571994066238403) (1198,1.2403024435043335) (780,1.1923518180847168) (1210,1.1770925521850586) (1291,1.1745694875717163) (260,1.1161092519760132) (1573,1.105399250984192)* (648,1.0808994770050049)* (10,1.0661638975143433) (1240,1.0509891510009766) (1356,1.0382466316223145) (2628,1.0179121494293213) (2058,1.007368803024292) (1608,0.9961578249931335)
8: (318,1.7874611616134644) (593,1.4920763969421387) (1721,1.4266209602355957)* (3160,1.3703421354293823) (2324,1.3555872440338135) (778,1.3539596796035767) (2336,1.3295069932937622) (3418,1.3263180255889893) (32,1.3211266994476318) (2959,1.1298376321792603) (293,1.1118465662002563) (266,1.1059808731079102)* (1584,1.077749252319336) (1408,1.0606633424758911) (2712,1.0596636533737183) (223,1.0160598754882812) (508,1.0055440664291382) (3252,1.0046104192733765) (1358,0.986451268196106) (1183,0.9795660972595215)
9: (296,2.586268424987793) (2396,1.8772971630096436) (110,1.7587765455245972) (2997,1.6800098419189453) (356,1.6729933023452759) (34,1.3948254585266113) (3147,1.3815662860870361)* (1089,1.361336350440979)* (32,1.3525927066802979) (150,1.3381061553955078) (745,1.3191554546356201)* (1393,1.3150079250335693) (260,1.3066498041152954) (3006,1.275770902633667) (589,1.2603881359100342) (2355,1.2544019222259521)* (1580,1.2125062942504883) (1196,1.205767035484314) (1198,1.1756772994995117) (1784,1.1753759384155273)
10: (260,2.729645013809204)* (1,1.9877345561981201)* (2140,1.8483660221099854)* (3471,1.841753363609314)* (2628,1.8024669885635376) (919,1.7614822387695312)* (2161,1.6262177228927612)* (317,1.5334898233413696)* (1967,1.5232784748077393)* (356,1.4839524030685425)* (150,1.4059264659881592)* (1721,1.3917436599731445) (2080,1.3875826597213745)* (34,1.3036115169525146) (3396,1.157213568687439) (497,1.1408144235610962) (1396,1.1266921758651733) (924,1.1078050136566162) (3479,1.1067698001861572) (551,1.071632742881775)
11: (223,1.730717658996582) (1517,1.699278712272644) (2395,1.5015746355056763) (318,1.3434152603149414)* (1060,1.3271557092666626) (1265,1.2071176767349243) (2706,1.204899549484253) (1968,1.2000316381454468) (2324,1.1978845596313477) (527,1.1927224397659302) (296,1.1805472373962402) (2599,1.1541433334350586) (231,1.1515878438949585) (785,1.1508240699768066) (441,1.1040143966674805) (3253,1.091078281402588) (180,1.0710595846176147) (3147,1.069492220878601) (2502,1.0680409669876099) (3052,1.061667799949646)
