userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
1: (364,10.236757278442383) (595,9.73875904083252)* (2081,8.249044418334961) (34,7.766838550567627) (1282,7.719094753265381) (2096,7.6399335861206055) (2080,7.349098205566406) (1907,7.293295383453369)* (1210,7.251511573791504) (2087,7.223304748535156) (2078,7.215599536895752) (1032,7.202904224395752) (1196,7.199918270111084) (318,7.152985095977783) (2085,7.145664691925049) (593,7.09584903717041) (2137,7.086815357208252) (2858,6.977133750915527) (2687,6.939729690551758) (1198,6.927180290222168)
2: (527,8.622686386108398) (858,7.81706428527832) (260,7.38142204284668) (593,7.3809733390808105)* (1610,7.327396392822266)* (1961,7.254693031311035) (150,7.204901218414307) (1225,7.160542964935303)* (1704,7.0085906982421875) (1242,6.828132629394531) (1250,6.802358150482178) (1221,6.793291091918945) (608,6.719295501708984) (1231,6.701747894287109) (1291,6.61488676071167) (1233,6.542442798614502) (1299,6.506457328796387) (2571,6.478367328643799)* (1265,6.430776596069336) (1580,6.3897705078125)
3: (1291,7.616511821746826)* (1198,7.583723068237305)* (110,7.003180980682373) (1073,6.866490840911865) (2716,6.7623186111450195) (2918,6.6192803382873535) (2174,6.564594268798828) (1610,6.499729633331299) (2628,6.45019006729126) (2028,6.414736747741699) (2406,6.370349407196045) (457,6.32101583480835) (356,6.238539218902588) (1270,6.138519763946533) (592,6.1160430908203125) (349,6.090175151824951) (2797,6.057950019836426) (2791,6.055029392242432) (2000,6.014560222625732) (2571,6.000473499298096)
4: (1198,7.362701416015625)* (858,7.248824596405029) (1196,7.202017307281494) (589,6.680398464202881) (1221,6.549276828765869) (2571,6.545147895812988) (1304,6.469289779663086) (1210,6.463454723358154) (1200,6.266809463500977) (457,5.915787220001221) (110,5.896198749542236) (1291,5.884008884429932) (3703,5.782817840576172) (2944,5.766453266143799) (1222,5.650699138641357) (1287,5.496217727661133) (1953,5.478272438049316) (3527,5.457160949707031) (2916,5.438150405883789) (1610,5.351954936981201)
5: (2858,9.4515962600708)* (2692,8.924760818481445)* (247,8.913739204406738) (2395,8.690347671508789)* (608,8.665972709655762)* (1885,8.065010070800781)* (1617,7.909006595611572) (1719,7.804173946380615) (235,7.745005130767822) (2762,7.741072654724121) (778,7.622217655181885) (3160,7.540721893310547) (223,7.520200729370117) (1041,7.424345970153809) (2336,7.240157604217529) (1094,7.2062482833862305) (3176,7.178287029266357) (296,7.133867263793945)* (2686,7.104428768157959) (260,6.906291484832764)
6: (1088,7.7436323165893555)* (1028,7.249233245849609)* (1721,6.795787334442139) (2396,6.79071044921875)* (2080,6.754923343658447) (3408,6.735387802124023)* (1307,6.633136749267578) (595,6.632325172424316)* (899,6.4307050704956055) (2762,6.37342643737793) (2941,6.332513809204102) (1035,6.25116491317749)* (2565,6.2295331954956055) (1183,6.162732124328613) (356,6.160457134246826) (590,6.157557487487793) (597,6.132995128631592)* (1304,6.1134114265441895) (266,6.074837684631348)* (539,6.047515392303467)
7: (2571,7.42671012878418)* (1198,6.752897262573242) (1036,6.540919780731201) (2028,6.488008975982666)* (377,6.442117691040039) (2353,6.319594383239746)* (1370,6.207892894744873) (1291,6.183810234069824) (1210,6.175384044647217) (1240,6.091939926147461) (648,6.026551246643066)* (1608,5.860195636749268) (10,5.858283519744873) (260,5.783902168273926) (1573,5.642193794250488)* (2628,5.62835168838501) (2058,5.429413795471191) (2000,5.420426845550537) (780,5.412315845489502) (165,5.311107158660889)
8: (318,9.974640846252441) (778,8.402244567871094) (593,8.286689758300781) (36,8.126492500305176)* (2959,8.015789985656738) (150,7.929673671722412)* (3418,7.912947177886963) (3252,7.705286502838135) (3160,7.692336559295654) (1721,7.685726165771484)* (3246,7.675650119781494)* (1358,7.595048427581787) (3100,7.593528747558594) (2324,7.507668972015381) (590,7.471421241760254) (293,7.452022075653076) (1183,7.451005935668945) (300,7.393938064575195) (858,7.3806633949279785) (32,7.375809192657471)
9: (296,9.777544975280762) (110,8.200756072998047) (2997,8.158447265625) (356,8.152682304382324) (150,8.07820987701416) (34,8.001964569091797) (2396,7.948021411895752) (32,7.814305305480957) (589,7.627749919891357) (1393,7.6269636154174805) (745,7.596564769744873)* (1784,7.490355968475342) (1196,7.263051509857178) (3006,7.139748573303223) (260,7.036478042602539) (2599,7.005316734313965) (2291,6.9989848136901855) (1089,6.965275764465332)* (1198,6.8872971534729) (1197,6.868265628814697)
10: (260,11.618335723876953)* (2628,11.27540111541748) (2161,10.556658744812012)* (2140,10.315160751342773)* (919,10.193068504333496)* (317,10.162313461303711)* (1,10.11560344696045)* (2080,10.006400108337402)* (356,9.79567813873291)* (1278,9.760658264160156)* (3033,9.75488567352295) (3471,9.650253295898438)* (2406,9.528824806213379) (150,9.479178428649902)* (2791,9.336009979248047)* (1136,9.334540367126465)* (3396,9.292720794677734) (497,9.181681632995605) (924,9.169682502746582) (440,9.153586387634277)
11: (1517,8.512001037597656) (223,8.32138729095459) (296,7.943133354187012) (1060,7.801065444946289) (2395,7.75016975402832) (3052,7.6532721519470215) (318,7.497852802276611)* (3253,7.438790321350098) (2599,7.260011672973633) (2706,7.237580299377441) (1641,7.128771781921387) (1265,7.0565714836120605) (778,6.984320163726807)* (527,6.867098331451416) (1,6.839773654937744) (1777,6.778285026550293)* (180,6.772879123687744) (2700,6.736048698425293) (1213,6.717984199523926)* (1500,6.713934898376465)
