userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
1: (318,9.72589768934995e-05) (2858,9.715300984680653e-05) (595,8.675128628965467e-05)* (2762,8.203421748476103e-05)* (356,7.991363963810727e-05) (2396,7.860505866119638e-05) (593,7.622223347425461e-05) (1197,7.588065636809915e-05) (34,7.534218457294628e-05) (364,7.197745435405523e-05) (1198,7.160907989600673e-05) (1196,6.84741316945292e-05) (1210,6.529257370857522e-05) (1259,6.403591396519914e-05) (2081,6.384050357155502e-05) (2078,6.375306111294776e-05) (1265,6.294687045738101e-05) (2080,6.291845056694001e-05) (2716,5.9942623920505866e-05) (110,5.8792084018932655e-05)
2: (260,0.0001404563372489065) (593,0.0001359089947072789)* (527,0.000124179627164267) (858,0.00011795135651482269) (2571,0.00011134475789731368)* (2858,0.00010159411613130942)* (1610,9.262168896384537e-05)* (608,8.820261427899823e-05) (1221,7.871039269957691e-05) (1197,7.749811629764736e-05) (1036,7.624492718605325e-05) (2762,7.530097354901955e-05) (1617,7.528078276664019e-05) (1704,7.328049105126411e-05) (296,7.273457595147192e-05) (1240,7.082786032697186e-05) (1580,7.047459803288803e-05) (1233,6.746561848558486e-05) (1304,6.729099550284445e-05) (1213,6.619203486479819e-05)
3: (1198,0.00015287876885849983)* (2571,0.0001150399912148714) (1270,0.00010735006799222901) (2028,0.00010499206109670922) (1291,0.00010313217353541404)* (1036,9.117703302763402e-05) (457,8.955568046076223e-05) (589,8.955096564022824e-05) (110,8.660770981805399e-05) (858,8.345126116182655e-05) (2628,8.163460006471723e-05) (1097,8.010611782083288e-05) (527,7.94985971879214e-05) (1610,7.76869710534811e-05) (1240,7.763199391774833e-05) (1580,7.714980893069878e-05) (2000,7.707223994657397e-05) (2716,7.236957753775641e-05) (1220,7.230568007798865e-05) (2918,7.070910942275077e-05)
4: (1196,0.00047078009811230004) (589,0.0003726053109858185) (1198,0.00035617814864963293)* (1210,0.00033300305949524045) (858,0.00032448701676912606) (1200,0.00031103903893381357) (1221,0.00028011517133563757) (110,0.00026897984207607806) (2571,0.00026288582012057304) (457,0.00022326542239170521) (2944,0.00020837826014030725) (2288,0.00018363184062764049) (541,0.0001832195121096447) (1291,0.0001794172712834552) (1610,0.00017887722060550004) (2529,0.00017454478074796498) (1222,0.00016720530402380973) (3471,0.00016634134226478636) (2194,0.00016440392937511206) (2916,0.00016120242071337998)
5: (2858,0.00010425904474686831)* (2762,6.345687143038958e-05) (296,6.293287879088894e-05)* (223,6.278289220063016e-05) (608,6.179383490234613e-05)* (3160,5.693700222764164e-05) (2396,5.630231316899881e-05) (1617,5.351152503862977e-05) (1213,5.349780622054823e-05)* (2395,5.11383441335056e-05)* (3176,4.9558584578335285e-05) (2692,4.691775393439457e-05)* (2336,4.388350498629734e-05) (3481,4.229650949127972e-05) (318,4.194709617877379e-05) (3897,3.9676455344306305e-05) (3578,3.686971831484698e-05) (2712,3.663943789433688e-05) (2706,3.578185351216234e-05) (2324,3.458595892880112e-05)
6: (1721,5.3924366511637345e-05) (597,4.436913877725601e-05)* (539,4.390739923110232e-05) (356,4.3111740524182096e-05) (2396,4.146829087403603e-05)* (2028,4.000684930360876e-05) (11,3.9341251977020875e-05) (2762,3.588762410799973e-05) (110,3.5628665500553325e-05) (2080,3.5521748941391706e-05) (1307,3.505726272123866e-05) (3408,3.494736665743403e-05)* (1393,3.4794877137755975e-05) (2424,3.338009264552966e-05) (3114,3.318805465823971e-05) (318,3.250304871471599e-05) (919,3.240432852180675e-05) (1610,3.196151737938635e-05) (899,3.1320723792305216e-05) (595,3.113961429335177e-05)*
7: (2571,0.0003433101228438318)* (2028,0.0002654448035173118)* (1210,0.00025432874099351466) (1036,0.0001936897897394374) (1198,0.000187563244253397) (780,0.00018728197028394789) (260,0.00016840826719999313) (1291,0.0001616875088075176) (1356,0.00016142631648108363) (2628,0.00015805584553163499) (2000,0.0001562141696922481) (1370,0.00015407282626256347) (377,0.00015235373575706035) (2058,0.00014997761172708124) (858,0.00014900087262503803) (1387,0.00014691261458210647) (2353,0.00014336152526084334)* (1573,0.00014020786329638213)* (3527,0.00013958822819404304) (1200,0.00013441985356621444)
8: (593,0.00012008736666757613) (318,0.00011823653767351061) (1196,0.0001043562515405938) (260,0.00010433789429953322) (2762,9.480158041696995e-05) (1617,8.018016524147242e-05) (50,7.940161594888195e-05) (457,7.555702904937789e-05) (2997,7.188989548012614e-05) (1198,6.97449067956768e-05) (858,6.933111581020057e-05) (356,6.623381341341883e-05) (1197,6.338320235954598e-05) (3578,6.231787847355008e-05) (1089,6.18127451161854e-05) (2959,6.106022192398086e-05) (2628,6.008636410115287e-05) (32,5.893955676583573e-05) (47,5.74966543354094e-05) (3160,5.657023939420469e-05)
9: (296,0.0001722393644740805) (260,0.000172116604517214) (1196,0.00016055013111326844) (110,0.00014651817036792636) (858,0.0001447853137506172) (2997,0.0001432204298907891) (2396,0.0001350825186818838) (1198,0.00013417597801890224) (589,0.0001338933507213369) (1197,0.00012768320448230952) (356,0.00011687114601954818) (1193,0.00010982489766320214) (3578,9.775721991900355e-05) (1089,9.462188609177247e-05)* (3147,9.362256969325244e-05)* (34,9.23890111153014e-05) (1270,9.217682236339897e-05) (2599,8.932075434131548e-05) (2355,8.818092464935035e-05)* (1259,8.609582437202334e-05)
10: (260,0.00018659520719666034)* (1,0.00011145256576128304)* (2628,9.557153680361807e-05) (589,9.556969598634169e-05)* (356,8.192549285013229e-05)* (919,7.270085188793018e-05)* (2028,6.777033559046686e-05) (110,6.764162390027195e-05)* (1721,6.627798575209454e-05) (2916,6.510640378110111e-05) (34,6.471315282396972e-05) (1968,6.0913436755072325e-05) (2858,5.935258013778366e-05) (541,5.685137148248032e-05)* (1136,5.657782094203867e-05)* (593,5.614198016701266e-05) (1259,5.526377572095953e-05) (11,5.396967753767967e-05) (2791,5.1277998863952234e-05)* (3471,5.031905311625451e-05)*
11: (296,0.00010487841791473329) (318,9.974709973903373e-05)* (527,8.381921361433342e-05) (1213,8.133063238346949e-05)* (2396,8.126593456836417e-05) (2028,8.037523366510868e-05) (2571,7.615888898726553e-05) (1617,7.420526526402682e-05) (1265,7.242368155857548e-05) (2599,7.128715515136719e-05) (1,6.84215992805548e-05) (223,6.202155782375485e-05) (858,6.15086464677006e-05) (1196,5.952431456535123e-05) (110,5.845606210641563e-05) (2324,5.816253906232305e-05) (260,5.8072302635991946e-05) (3114,5.6250617490150034e-05) (589,5.498132304637693e-05) (1210,5.494766810443252e-05)
