userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
1: (1198,13.878843307495117) (1196,13.467216491699219) (318,13.348274230957031) (593,13.279580116271973) (356,13.042633056640625) (2858,13.031110763549805) (2396,13.015317916870117) (1197,12.95881462097168) (1210,12.887857437133789) (110,12.79524040222168) (2762,12.508176803588867)* (1265,12.268142700195312) (858,11.725871086120605) (457,11.66207504272461) (2571,11.515628814697266) (1307,11.45128059387207) (1259,11.32218074798584) (480,11.29406452178955) (34,11.223730087280273) (589,11.08439826965332)
2: (593,19.309532165527344)* (527,18.969482421875) (608,18.051010131835938) (2858,18.032899856567383)* (260,17.798721313476562) (858,17.20795440673828) (296,16.8575439453125) (1197,16.78603172302246) (2396,16.728605270385742)* (1265,16.627334594726562) (1617,16.484821319580078) (2762,16.445537567138672) (2571,16.163864135742188)* (1270,15.971732139587402) (50,15.95176887512207) (1,15.618523597717285) (1213,15.42512321472168) (1704,15.365028381347656) (1610,15.20966911315918)* (1307,14.964168548583984)
3: (1198,16.43344497680664)* (1270,15.221132278442383) (2028,15.013731002807617) (110,14.828912734985352) (2571,14.53940200805664) (589,14.414567947387695) (356,14.30419921875) (457,14.076737403869629) (593,13.901308059692383) (1291,13.855003356933594)* (1580,13.802732467651367) (1265,13.778491973876953) (1,13.746490478515625) (1036,13.68760871887207) (1240,13.668953895568848) (318,13.462486267089844) (1097,13.414680480957031) (2000,13.250795364379883) (527,13.239143371582031) (858,13.131519317626953)
4: (1196,15.001150131225586) (1198,14.647941589355469)* (1210,13.567602157592773) (858,13.46019172668457) (589,13.228769302368164) (2571,13.03091049194336) (1197,12.512622833251953) (593,12.350996971130371) (541,12.233522415161133) (1270,12.233471870422363) (2858,12.226706504821777) (1200,12.169836044311523) (110,12.064351081848145) (608,11.938878059387207) (1221,11.716384887695312) (1617,11.400409698486328) (527,11.277850151062012) (1304,11.164886474609375) (1291,11.093364715576172) (1136,11.089706420898438)
5: (2858,18.682518005371094)* (608,16.48314666748047)* (296,15.822504043579102)* (1617,15.076525688171387) (318,14.85696792602539) (527,14.262027740478516) (1213,14.201163291931152)* (2762,13.856822967529297) (2028,13.588265419006348) (858,13.214978218078613) (2396,12.648975372314453) (1193,12.43288516998291) (3481,11.844136238098145) (1358,11.640567779541016) (3160,11.613754272460938) (2692,11.595062255859375)* (1221,11.593381881713867) (1196,11.307733535766602) (2395,11.297815322875977)* (1704,11.292482376098633)
6: (356,13.619683265686035) (1198,12.659093856811523) (2396,12.531000137329102)* (2028,12.505538940429688) (318,12.38909912109375) (110,12.343058586120605) (527,12.219944953918457) (1210,12.056835174560547) (260,11.945348739624023) (1265,11.931285858154297) (1197,11.917284965515137) (1196,11.916435241699219) (1270,11.859124183654785) (593,11.773387908935547) (457,11.678778648376465) (1307,11.58828353881836) (2762,11.440486907958984) (1721,11.349250793457031) (1097,11.338014602661133) (480,10.94437313079834)
7: (2571,13.601624488830566)* (2028,13.54887866973877)* (1210,12.858284950256348) (1198,12.813299179077148) (260,12.756503105163574) (356,11.847063064575195) (593,11.814607620239258) (318,11.357675552368164) (1036,11.293002128601074) (1291,11.234888076782227) (1197,11.150406837463379) (1240,11.019341468811035) (2762,11.007243156433105) (527,10.903949737548828) (2858,10.807655334472656) (1,10.701743125915527) (2628,10.6983060836792) (780,10.454667091369629) (1265,10.38803768157959) (2000,10.357138633728027)
8: (593,19.80637550354004) (318,19.77324676513672) (2762,17.52817153930664) (50,17.359519958496094) (1617,17.201194763183594) (356,15.896207809448242) (457,15.676952362060547) (2997,15.557921409606934) (1265,15.45169448852539)* (858,15.239501953125) (1198,15.027345657348633) (1196,14.677526473999023) (1358,14.574747085571289) (2324,14.303118705749512) (1197,14.271937370300293) (260,14.239482879638672) (1784,13.98087215423584) (1193,13.886003494262695) (1089,13.757715225219727) (1259,13.616598129272461)
9: (296,18.017520904541016) (110,16.357376098632812) (2396,15.844982147216797) (2997,15.786088943481445) (858,15.719202041625977) (1198,15.66936206817627) (1196,15.497817993164062) (260,15.389921188354492) (356,15.005517959594727) (1197,14.881821632385254) (589,14.698143005371094) (1193,14.083066940307617) (1259,13.753887176513672) (1089,13.50197982788086)* (1270,13.396909713745117) (3578,13.330629348754883) (34,13.328409194946289) (2599,12.910318374633789) (1610,12.870630264282227) (1784,12.845903396606445)
10: (260,24.097627639770508)* (356,20.95532989501953)* (110,20.666471481323242)* (2028,20.57137680053711) (1,20.539932250976562)* (589,19.816650390625)* (593,19.362699508666992) (457,19.35451316833496) (1036,19.013952255249023) (919,18.555864334106445)* (1259,18.37349510192871) (858,18.215471267700195) (2858,18.153404235839844) (1610,18.152996063232422) (2791,17.456100463867188)* (1136,17.367225646972656)* (1304,17.341289520263672) (2628,17.266704559326172) (608,17.10051918029785) (34,16.992630004882812)
11: (318,18.59418487548828)* (296,18.498567581176758) (527,17.554912567138672) (2028,17.520198822021484) (1617,16.948453903198242) (1213,16.748056411743164)* (1265,15.856270790100098) (858,15.78230094909668) (2396,15.587039947509766) (110,15.15125560760498) (1196,15.083280563354492) (260,14.67795181274414) (2571,14.532096862792969) (1259,14.510883331298828) (1193,14.421730041503906) (2324,14.012067794799805) (457,13.997668266296387) (2599,13.961090087890625) (1,13.888862609863281) (1221,13.747474670410156)
