userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
1: (364,11.01510238647461) (595,10.496252059936523)* (2081,9.834291458129883) (1282,9.234295845031738) (2096,8.831087112426758) (318,8.803430557250977) (2087,8.75841236114502) (2858,8.714923858642578) (34,8.5253324508667) (1907,8.440863609313965)* (1947,8.371363639831543) (593,8.309672355651855) (2080,8.23936653137207) (2687,8.228623390197754) (2396,8.192602157592773) (2078,8.190207481384277) (899,8.101648330688477) (110,8.092024803161621) (36,8.085675239562988) (914,8.073728561401367)
2: (527,9.012716293334961) (1610,8.807361602783203)* (1408,8.50844955444336) (150,8.339126586914062) (858,8.222442626953125) (1233,8.200727462768555) (1704,8.117598533630371) (260,8.086149215698242) (912,7.939401626586914) (1225,7.832855701446533)* (2006,7.831458568572998) (3256,7.797904014587402) (1231,7.786013126373291) (474,7.741637229919434) (1242,7.741544246673584) (593,7.703632354736328)* (1221,7.647687911987305) (1250,7.634016513824463) (780,7.626895427703857) (1287,7.622330188751221)
3: (1198,10.451766967773438)* (1291,10.153279304504395)* (2000,9.95589542388916) (110,9.95531177520752) (1036,9.677759170532227) (1610,9.594265937805176) (2028,9.534161567687988) (2406,9.52539348602295) (592,9.419689178466797) (1220,9.337538719177246) (457,9.159928321838379) (1275,8.98177433013916) (3448,8.913705825805664) (368,8.907655715942383) (380,8.90224552154541) (2194,8.871431350708008) (2716,8.829712867736816) (2918,8.781527519226074) (1242,8.750137329101562) (2001,8.746356010437012)
4: (1198,11.895575523376465)* (858,11.781729698181152) (1196,11.419737815856934) (589,11.271435737609863) (1221,10.8658447265625) (2571,10.39245891571045) (1210,10.387636184692383) (110,9.965624809265137) (1200,9.875574111938477) (1222,9.828685760498047) (1304,9.801608085632324) (2858,9.775147438049316) (2019,9.701056480407715) (1291,9.588271141052246) (457,9.566155433654785) (593,9.464327812194824) (2944,9.385003089904785) (1193,9.350170135498047) (527,9.291502952575684) (912,9.18782901763916)
5: (247,9.902676582336426) (2858,9.658020973205566)* (2692,9.365462303161621)* (2395,9.319168090820312)* (608,8.617761611938477)* (235,8.509316444396973) (223,8.497063636779785) (1885,8.389870643615723)* (2762,8.284412384033203) (1148,8.25927734375) (1719,8.23013687133789) (296,8.18146800994873)* (745,8.160256385803223) (778,8.1267728805542) (3160,8.07300090789795) (1617,8.05224895477295) (1748,7.862245082855225) (319,7.823299407958984) (3000,7.789300918579102) (2396,7.667932987213135)
6: (1088,8.02546215057373)* (1035,7.887686252593994)* (2396,7.735549449920654)* (266,7.722225666046143)* (1959,7.642512798309326) (2941,7.615010738372803) (1307,7.585933208465576) (3512,7.226269245147705) (902,7.20115852355957) (1721,7.199519157409668) (932,7.132208347320557) (3408,7.108026027679443)* (2067,7.03804874420166) (539,6.943253517150879) (899,6.936445713043213) (1028,6.918700218200684)* (1183,6.793176651000977) (969,6.780989170074463) (2724,6.776152610778809) (2080,6.708536624908447)
7: (2571,10.314543724060059)* (2028,10.19874095916748)* (1198,10.119669914245605) (377,9.743029594421387) (1036,9.742761611938477) (1573,9.687148094177246)* (1240,9.639612197875977) (1370,9.57235336303711) (1210,9.555499076843262) (780,9.328338623046875) (260,9.25051498413086) (648,9.21162223815918)* (1291,8.996711730957031) (1214,8.887236595153809) (2353,8.877152442932129)* (1387,8.852899551391602) (1544,8.775289535522461) (1608,8.765904426574707) (1200,8.638323783874512) (2985,8.623308181762695)
8: (318,9.582005500793457) (593,9.267007827758789) (3246,8.936077117919922)* (293,8.841259002685547) (36,8.829821586608887)* (3160,8.82392406463623) (150,8.769075393676758)* (32,8.720394134521484) (1358,8.624685287475586) (778,8.505544662475586) (1249,8.405462265014648) (590,8.402965545654297) (3386,8.36699390411377) (47,8.35007095336914) (1408,8.304567337036133) (3100,8.301383018493652) (1059,8.272537231445312) (3252,8.17392635345459) (1584,8.139603614807129) (1183,8.129768371582031)
9: (296,12.891796112060547) (589,11.416579246520996) (150,11.277684211730957) (110,11.11913776397705) (2997,10.91652774810791) (32,10.880946159362793) (1089,10.707101821899414)* (34,10.637768745422363) (1784,10.579584121704102) (2396,10.529876708984375) (356,10.44234561920166) (1393,10.42992877960205) (47,10.391763687133789)* (1198,10.38837718963623) (3147,10.363285064697266)* (260,10.350374221801758) (1580,10.338786125183105) (1196,10.222118377685547) (2599,10.089158058166504) (2329,10.055055618286133)
10: (260,9.59521198272705)* (2140,9.293770790100098)* (919,9.163525581359863)* (2161,9.067660331726074)* (3471,8.709359169006348)* (356,8.574498176574707)* (2080,8.474532127380371)* (1,8.464422225952148)* (1278,8.452452659606934)* (2628,8.435123443603516) (1136,8.302790641784668)* (317,8.162736892700195)* (440,8.130589485168457) (551,8.06099796295166) (11,8.055414199829102) (3088,8.030733108520508) (924,8.024436950683594) (3033,7.963772773742676) (2141,7.961215496063232) (3548,7.830850601196289)
11: (1060,10.129555702209473) (223,10.106059074401855) (2395,10.002731323242188) (2599,9.500639915466309) (562,9.44810676574707) (296,9.365137100219727) (2700,9.296565055847168) (1500,9.033819198608398) (1517,8.882156372070312) (441,8.877081871032715) (778,8.840548515319824)* (3253,8.63719367980957) (3052,8.575043678283691) (3481,8.570633888244629) (1285,8.531373977661133) (1641,8.46278190612793) (39,8.444363594055176) (180,8.381531715393066) (1673,8.309260368347168) (1265,8.293014526367188)
