userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
1: (364,5.121753215789795) (595,4.915716171264648)* (2081,4.266888618469238) (34,4.101883888244629) (318,4.005488395690918) (593,3.49707293510437) (1907,3.4370362758636475)* (3751,3.42671537399292) (356,3.4028353691101074) (2080,3.31335711479187) (2096,3.3085572719573975) (2396,3.283932685852051) (920,3.244340419769287) (2762,3.24399471282959)* (1282,3.220349073410034) (1704,3.215723991394043) (2687,3.208465099334717) (1947,3.1559269428253174) (1225,3.121907949447632) (2087,3.1209986209869385)
2: (527,5.6777520179748535) (593,4.803616523742676)* (1610,4.745978355407715)* (858,4.485841751098633) (1704,4.29170036315918) (150,4.21739387512207) (260,4.011070251464844) (919,3.916316270828247) (608,3.895308256149292) (2501,3.8346385955810547)* (1221,3.717726230621338) (3256,3.714149236679077) (1225,3.7000186443328857)* (1233,3.6823718547821045) (1674,3.5958240032196045) (912,3.561955213546753) (1291,3.4606027603149414) (1408,3.435168504714966) (1961,3.4317305088043213) (1242,3.413980484008789)
3: (110,4.301905155181885) (1198,4.223508358001709)* (1291,4.133974552154541)* (1580,3.9586899280548096) (2000,3.8580546379089355) (589,3.791551351547241) (2628,3.7771730422973633) (2918,3.6358449459075928) (1270,3.5093514919281006) (356,3.5089330673217773) (2571,3.412060022354126) (2406,3.351595163345337) (2028,3.2447702884674072) (2716,3.2265303134918213) (2791,3.2129621505737305) (780,3.124220609664917) (1610,3.1218276023864746) (1968,3.041262626647949)* (1220,3.0368244647979736) (1265,2.963024139404297)
4: (1198,6.495290756225586)* (1210,5.936967372894287) (1196,5.809241771697998) (858,5.649786472320557) (589,5.532670021057129) (1200,5.328244686126709) (2571,5.117824554443359) (1221,5.086955547332764) (1291,4.705219268798828) (1304,4.4492716789245605) (110,4.282073020935059) (457,4.261775493621826) (1374,4.257771015167236) (541,4.2074127197265625) (2916,4.201294422149658) (3527,4.166069030761719) (1222,4.149761199951172) (1287,4.0803728103637695) (3703,4.049107551574707) (1610,3.953491449356079)
5: (2858,5.201286315917969)* (2692,4.316226482391357)* (2395,3.9341607093811035)* (3160,3.789219379425049) (608,3.7867093086242676)* (296,3.7539658546447754)* (223,3.7428810596466064) (247,3.2205774784088135) (3481,3.2054636478424072) (3176,3.132819890975952) (1617,3.0789637565612793) (778,3.0633862018585205) (1885,3.052488327026367)* (1673,3.012232780456543) (1213,2.9741034507751465)* (1179,2.9374842643737793) (1041,2.805894374847412) (2336,2.7823545932769775) (1719,2.7556164264678955) (235,2.75298810005188)
6: (539,2.9122068881988525) (1721,2.879748582839966) (1035,2.8475682735443115)* (2396,2.7955996990203857)* (1028,2.780036211013794)* (595,2.7028658390045166)* (3512,2.628708839416504) (597,2.615431070327759)* (1088,2.6051008701324463)* (2080,2.456592559814453) (2565,2.4376513957977295) (1307,2.4144093990325928) (919,2.4020895957946777) (356,2.3886325359344482) (2671,2.3260514736175537) (587,2.3188257217407227) (899,2.3112387657165527) (1022,2.2923150062561035) (2424,2.28672456741333) (3916,2.278183937072754)
7: (2571,6.051573276519775)* (780,5.422018527984619) (1370,5.187190532684326) (1608,5.111023902893066) (648,4.9529547691345215)* (2028,4.903914928436279)* (1573,4.668844223022461)* (2353,4.613828659057617)* (260,4.587729454040527) (1210,4.57537841796875) (1036,4.559106826782227) (1527,4.535738945007324) (377,4.389599323272705) (1240,4.370190143585205) (1544,4.31626033782959) (1356,4.314374923706055) (1214,4.292604446411133) (2628,4.284002304077148) (1198,4.179298400878906) (1917,4.1637492179870605)
8: (318,4.233331680297852) (593,4.120070457458496) (32,3.3538761138916016) (778,3.332491874694824) (50,3.299313545227051) (293,3.1512935161590576) (2959,3.1273410320281982) (3418,3.1249594688415527) (1358,3.0897042751312256) (2890,3.045433282852173) (457,3.0434341430664062) (150,3.0424883365631104)* (3006,2.990978479385376) (47,2.9569485187530518) (2762,2.9416086673736572) (36,2.941312551498413)* (1089,2.838890790939331) (1721,2.8157153129577637)* (2268,2.800065040588379) (300,2.733086347579956)
9: (296,6.895318984985352) (2997,5.539557933807373) (110,5.3444437980651855) (2396,5.265108108520508) (356,5.228299140930176) (34,4.8122663497924805) (150,4.808268070220947) (589,4.733329772949219) (3578,4.607806205749512) (260,4.602724552154541) (3147,4.523596286773682)* (32,4.443465232849121) (1610,4.433239936828613) (1784,4.358548164367676) (1196,4.343299865722656) (2599,4.290292263031006) (2355,4.27743673324585)* (858,4.266304016113281) (47,4.249102592468262)* (1197,4.193698883056641)
10: (919,5.129520893096924)* (1,4.957441329956055)* (260,4.7731099128723145)* (2080,4.637049674987793)* (2406,4.628180980682373) (2140,4.537577152252197)* (356,4.447678089141846)* (11,4.267866134643555) (440,4.236050605773926) (3471,4.039686679840088)* (34,4.020992755889893) (1721,4.008903503417969) (2161,3.957260847091675)* (2628,3.9387876987457275) (3396,3.8383471965789795) (1968,3.7630691528320312) (1947,3.725980043411255)* (2987,3.650613784790039) (899,3.6427626609802246)* (1259,3.6266262531280518)
11: (1517,4.489163875579834) (2599,4.447892189025879) (296,4.255923748016357) (223,4.150250434875488) (1265,4.137204647064209) (2395,4.130589008331299) (1060,4.016660213470459) (2700,3.90045166015625) (3253,3.77873158454895) (1500,3.7187211513519287) (3052,3.5316848754882812) (1136,3.3021554946899414)* (2324,3.294586420059204) (1641,3.2765140533447266) (2804,3.248223066329956)* (2502,3.234963893890381) (1617,3.208885669708252) (318,3.1989707946777344)* (2706,3.194627285003662) (1673,3.175550937652588)
12: (858,4.4285688400268555)* (260,4.013295650482178) (1196,3.4895002841949463) (2019,3.3796439170837402) (1204,3.3204123973846436) (750,3.281404495239258) (912,3.2509686946868896) (1214,3.208639621734619) (1225,3.1429171562194824) (541,3.099147319793701) (1387,3.0138535499572754) (1219,3.013598680496216) (1136,2.990200996398926) (1252,2.982630729675293) (904,2.9237382411956787) (1228,2.910660743713379) (1208,2.893871307373047) (1206,2.8257791996002197) (924,2.812704086303711) (608,2.781553030014038)
13: (480,6.1260294914245605)* (2628,5.864815711975098) (527,4.748600959777832)* (1240,4.587173938751221) (2858,4.426122188568115) (457,4.1696577072143555) (541,4.134575366973877) (1291,4.08655309677124)* (316,4.077075004577637) (1214,4.054356575012207) (2762,4.024555206298828) (1610,4.024030685424805) (1197,4.004339218139648)* (1270,3.9632182121276855) (2916,3.9394423961639404) (1200,3.894937515258789) (924,3.8249988555908203) (356,3.7401349544525146) (3471,3.722020387649536) (1917,3.6283388137817383)
14: (2858,3.7622883319854736) (2959,2.9566855430603027) (608,2.76068377494812) (2908,2.743802070617676) (593,2.734090805053711) (318,2.6763412952423096) (2599,2.638516902923584) (527,2.4815802574157715) (50,2.4753458499908447) (1193,2.422983169555664) (3176,2.3981597423553467) (1213,2.2839667797088623) (1617,2.2688698768615723) (2712,2.2440879344940186) (2396,2.1827521324157715)* (3160,2.1737353801727295) (111,2.1541430950164795) (3006,2.139582395553589) (858,2.0375545024871826) (1221,2.0297956466674805)
15: (318,5.367110729217529)* (3578,5.161234378814697)* (356,4.891938209533691)* (1784,4.6300368309021) (1393,4.30558443069458) (349,4.304152488708496) (1721,4.271407604217529) (733,4.215844631195068) (150,4.2157182693481445) (2959,4.071691989898682) (589,4.060136795043945) (590,4.030004501342773) (2353,4.011256217956543) (2763,3.9331374168395996) (3256,3.913879632949829)* (1608,3.9041335582733154) (2329,3.825589179992676) (50,3.727823257446289)* (296,3.625519037246704) (1682,3.616818904876709)
16: (2694,4.335172176361084) (2706,4.274002552032471) (3114,4.076966762542725) (2987,4.011540412902832) (2762,3.8180899620056152) (2770,3.6499719619750977) (2541,3.624687433242798) (3408,3.5560877323150635) (2396,3.4363062381744385) (223,3.43174147605896) (2599,3.4207570552825928) (2881,3.378772735595703) (2605,3.3751280307769775) (2716,3.3731138706207275) (2688,3.274711847305298) (2336,3.207944869995117) (3157,3.1881277561187744) (2485,3.1020355224609375) (2763,3.067885160446167) (1513,3.0650601387023926)
17: (2916,6.077239036560059)* (924,5.964003562927246)* (1200,5.890829086303711)* (1527,5.064492225646973)* (1199,5.024101257324219) (1196,4.997428894042969)* (2858,4.737092971801758)* (260,4.656339168548584)* (608,4.551356315612793) (2997,4.396601676940918) (2968,4.270683288574219) (1097,4.255659103393555) (1215,4.039251804351807)* (3702,4.026925563812256) (2662,3.9311153888702393)* (2959,3.815840482711792) (1676,3.6798391342163086) (318,3.5738484859466553)* (1396,3.493847131729126) (1573,3.4610674381256104)
18: (364,5.664055824279785)* (1291,5.318567752838135)* (2571,4.963682174682617) (2081,4.7544732093811035)* (2193,4.152917385101318)* (1,4.106083869934082)* (1028,3.965237617492676)* (2687,3.7931582927703857) (2396,3.653259515762329) (3114,3.6336910724639893) (1374,3.6260766983032227) (480,3.607416868209839) (1610,3.6007649898529053) (596,3.5899791717529297)* (1101,3.5674874782562256) (1148,3.4710757732391357) (1408,3.4249987602233887)* (3000,3.424689531326294) (2006,3.4238710403442383) (1036,3.4135189056396484)
19: (3578,4.760537624359131) (2571,4.477167129516602)* (3114,4.291335105895996)* (260,4.093129634857178) (2762,4.0403876304626465)* (1036,3.8941845893859863)* (2683,3.8914101123809814)* (1291,3.8673617839813232)* (589,3.716719150543213)* (1196,3.706071376800537)* (364,3.605365037918091) (1136,3.530829906463623) (1240,3.4979195594787598) (2706,3.4568991661071777) (1200,3.3673105239868164) (2628,3.352029800415039) (480,3.339935779571533)* (1127,3.2676584720611572) (2710,3.2654993534088135) (457,3.1852023601531982)
21: (741,2.5455267429351807) (1274,1.8509175777435303) (1433,1.68329918384552) (2810,1.668636441230774) (1205,1.6654173135757446) (2140,1.6363831758499146) (3300,1.6297688484191895) (3799,1.5494203567504883) (3889,1.5372861623764038) (1831,1.507463812828064) (397,1.4797285795211792) (3636,1.47189199924469) (3322,1.4615591764450073) (29,1.4538838863372803) (2143,1.4506421089172363) (2105,1.448814868927002) (327,1.4395920038223267) (2663,1.4191433191299438) (2876,1.4182782173156738) (3615,1.4147297143936157)
22: (2571,4.582309722900391) (2700,4.329900741577148) (296,4.022101402282715) (2959,3.8861498832702637) (1500,3.676231622695923) (260,3.6650006771087646) (1210,3.642313241958618) (50,3.592541456222534) (1580,3.5870487689971924) (1197,3.4722530841827393) (1261,3.4539458751678467)* (3793,3.451223134994507) (1394,3.4358386993408203)* (2502,3.3998000621795654) (541,3.3349454402923584) (2918,3.2866525650024414)* (1213,3.2484285831451416) (608,3.2463219165802)* (1923,3.180302619934082) (1036,3.176562786102295)*
