userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
1: (364,2.608759641647339) (595,2.5622549057006836)* (34,2.216789960861206) (318,2.1379473209381104) (1198,1.8452898263931274) (2081,1.815388798713684) (593,1.8009986877441406) (2858,1.7756012678146362) (2396,1.648090124130249) (1907,1.6182883977890015)* (1210,1.6162261962890625) (2762,1.577247142791748)* (2078,1.5549368858337402) (2080,1.5537104606628418) (2096,1.5427923202514648) (3147,1.5403952598571777) (480,1.5271490812301636) (110,1.5243841409683228) (3751,1.5141438245773315) (1196,1.4907145500183105)
2: (593,2.4269559383392334)* (527,2.268993854522705) (858,2.1200993061065674) (1704,1.8652372360229492) (2571,1.8227121829986572)* (1610,1.8165701627731323)* (260,1.73917818069458) (1961,1.7177799940109253) (150,1.7081458568572998) (1225,1.669950246810913)* (1250,1.6317800283432007) (1580,1.6058018207550049) (1242,1.5616669654846191) (1221,1.5533101558685303) (1233,1.5471946001052856) (919,1.5443602800369263) (1,1.525131106376648) (912,1.4222363233566284) (608,1.4060240983963013) (1097,1.363025426864624)
3: (1198,2.3820817470550537)* (1291,2.3725101947784424)* (110,2.111771821975708) (2028,1.790655255317688) (2716,1.7550245523452759) (1073,1.7270622253417969) (2918,1.7152522802352905) (1580,1.6793324947357178) (2804,1.558814287185669) (2987,1.5149847269058228) (2193,1.4422868490219116) (2797,1.420379638671875) (2406,1.4067333936691284) (919,1.4000204801559448) (1265,1.3843525648117065) (2174,1.3621034622192383) (592,1.3440700769424438) (553,1.3386162519454956) (2005,1.3311805725097656) (380,1.3160547018051147)
4: (1198,2.8272671699523926)* (589,2.6660451889038086) (1196,2.5200648307800293) (858,2.411900281906128) (1221,2.28558611869812) (1200,2.1988205909729004) (1210,2.155369520187378) (1291,2.1237449645996094) (457,2.0497920513153076) (2571,2.026606321334839) (110,2.0064542293548584) (1304,1.7215576171875) (2944,1.570228934288025) (3703,1.5602977275848389) (1610,1.4944924116134644) (1222,1.4923768043518066) (2916,1.4474848508834839) (1287,1.4276973009109497) (2529,1.404496192932129) (969,1.3996690511703491)
5: (2395,2.4980642795562744)* (2858,2.273371934890747)* (3160,2.2533395290374756) (608,2.1540772914886475)* (2692,2.1282737255096436)* (247,1.9849650859832764) (235,1.7442654371261597) (1094,1.72609543800354) (1673,1.6626396179199219) (2336,1.5946651697158813) (1719,1.5638507604599) (3175,1.5363826751708984) (1885,1.4841127395629883)* (2721,1.4663147926330566) (1148,1.4546929597854614) (2762,1.447646975517273) (778,1.4244821071624756) (223,1.4193779230117798) (1249,1.403196930885315) (745,1.4016401767730713)
6: (3513,1.7377221584320068) (3512,1.6809228658676147) (899,1.549077033996582) (3408,1.5278148651123047)* (1210,1.5099103450775146) (1088,1.4683384895324707)* (266,1.4449198246002197)* (3623,1.2809324264526367) (1721,1.2512162923812866) (2396,1.2430951595306396)* (2565,1.2354708909988403) (2080,1.1673070192337036) (3594,1.1632901430130005) (3555,1.1568963527679443) (595,1.1504182815551758)* (1197,1.1072707176208496) (1035,1.104478120803833)* (3452,1.0946050882339478) (1198,1.0939372777938843) (2724,1.071498990058899)
7: (2571,2.8007102012634277)* (2028,2.4021143913269043)* (377,1.9956234693527222) (1370,1.8860291242599487) (2353,1.8719371557235718)* (1036,1.781733751296997) (1210,1.7472723722457886) (780,1.739819884300232) (1573,1.5996167659759521)* (2628,1.5821949243545532) (1198,1.5657103061676025) (1291,1.5595011711120605) (10,1.558366298675537) (3555,1.5472344160079956) (260,1.5414787530899048) (1608,1.529388189315796) (2058,1.466910481452942) (648,1.4372944831848145)* (1527,1.421242594718933) (1356,1.4182792901992798)
8: (318,2.606870174407959) (1721,2.124361276626587)* (3160,2.0191807746887207) (3418,1.986439824104309) (778,1.8374367952346802) (1183,1.8247777223587036) (2324,1.7385386228561401) (2959,1.7325259447097778) (1408,1.7265028953552246) (593,1.6912497282028198) (32,1.6862661838531494) (1358,1.6372318267822266) (2336,1.5537902116775513) (266,1.5380332469940186)* (293,1.527938961982727) (36,1.496181607246399)* (150,1.4733867645263672)* (1193,1.4573633670806885) (265,1.4554502964019775)* (3252,1.449720859527588)
9: (296,3.4745712280273438) (110,2.8039638996124268) (356,2.5344114303588867) (2997,2.525411605834961) (2396,2.502943515777588) (589,2.2070465087890625) (1196,2.033372402191162) (3147,2.0244030952453613)* (260,2.014862060546875) (34,1.983991265296936) (2599,1.892536997795105) (150,1.8863248825073242) (32,1.8773303031921387) (3006,1.7974257469177246) (47,1.7816184759140015)* (1197,1.780805230140686) (2329,1.719747543334961) (3578,1.7179341316223145) (1089,1.7137207984924316)* (1580,1.7126210927963257)
10: (260,3.141690969467163)* (1,2.9905786514282227)* (919,2.6339564323425293)* (356,2.264094352722168)* (2161,2.241044044494629)* (2140,2.2351503372192383)* (2628,2.1458544731140137) (3471,2.127581834793091)* (1278,2.127131938934326)* (1967,2.0961625576019287)* (2080,2.0639657974243164)* (1259,2.0397677421569824) (1373,1.7425153255462646) (1136,1.7329175472259521)* (1721,1.7327842712402344) (551,1.723721981048584) (317,1.6616954803466797)* (34,1.6466234922409058) (2791,1.6193745136260986)* (3396,1.5990506410598755)
11: (223,2.6549465656280518) (1517,2.4617536067962646) (318,2.0120952129364014)* (1060,1.9908699989318848) (296,1.935256004333496) (2395,1.932844877243042) (1265,1.8987547159194946) (3253,1.7466868162155151) (2706,1.714313268661499) (260,1.6859887838363647) (2324,1.6846152544021606) (2700,1.66081702709198) (785,1.6432766914367676) (2502,1.6368114948272705) (3052,1.6337502002716064) (441,1.4998993873596191) (2571,1.4516485929489136) (778,1.4457145929336548)* (2396,1.4052810668945312) (180,1.4050630331039429)
